POA_CODE21,lon,lat
2623,149.42739453219704,-35.58219372060863
2624,148.42605079183176,-36.32167600822689
2625,148.3094721323334,-36.50198952366662
2626,149.16755513714955,-35.91928235752853
2627,148.42184927295656,-36.56937308100993
2628,148.7151270952276,-36.56188558158016
2629,148.64873973961477,-35.89427758895404
2630,149.15561025503786,-36.23707908012064
2631,149.33946669029885,-36.55751041413763
2632,149.23153228042023,-36.95441453771106
2633,148.85188226035402,-36.94708082576765
2640,146.9048829554256,-35.98798917027958
2641,146.92703679720822,-36.03005882917757
2642,146.67963451711304,-35.686563343227256
2643,146.62469491317194,-35.95689382894089
2644,147.41963326438517,-35.75212946541685
2645,146.2517663412806,-35.31555495874415
2646,146.24527318270887,-35.725192284067965
2647,146.05231146824192,-35.92410810989482
2648,142.0659437705433,-33.41770552165816
2649,148.2929744610358,-35.796831655919334
2650,147.3876280351024,-35.1807062213622
2651,147.4648803666759,-35.14757975343498
2652,145.74967465086934,-33.926688914886434
2653,148.0376526566263,-35.79331300127222
2655,147.07087857646962,-35.26220974388079
2656,146.75311613387763,-35.26176331718956
2658,146.93997384352033,-35.50274373762504
2659,146.86008105633834,-35.70569445347159
2660,147.05397690110655,-35.669469867805006
2661,147.27634584469362,-35.15230571557146
2663,147.71222787672147,-34.8859197847816
2665,146.80093486048438,-34.277572145143765
2666,147.58935776052132,-34.42989229761875
2668,147.41898382525045,-34.10628981651213
2669,146.61147150939914,-33.70565274105254
2671,147.20015669041342,-33.79833398792288
2672,146.32844458980165,-33.37878509883885
2675,145.50190455989144,-33.26704257564662
2678,147.35530920235087,-35.05930844512542
2680,145.9222857732322,-34.34801776988708
2681,146.17425168367353,-34.158999927240956
2700,146.40751082578657,-34.83861740422709
2701,147.201960972538,-34.70203708193363
2702,147.01885158916747,-34.81007504436585
2703,146.3987907857771,-34.62501938563111
2705,146.31187964519597,-34.49446610227887
2706,145.86521489775367,-34.59505868448155
2707,145.83466294874853,-34.80688218421647
2710,144.9190229112297,-35.28213773132438
2711,144.59759387128568,-34.155740806875095
2712,145.82939538552557,-35.70912726179909
2713,145.49888828290096,-35.57948721112121
2714,145.42430052780048,-35.75548722643412
2715,143.30181182614885,-33.9656245625768
2716,145.71589252779006,-35.15207886642046
2717,142.09474541887525,-34.08882795963639
2720,148.37395192529246,-35.4409680483869
2721,147.69466784065406,-34.01555399891836
2722,148.11870472779884,-34.99072790330607
2725,147.86152406071548,-34.464615089746076
2726,148.33391925662337,-34.79378368302801
2727,148.44042512964756,-35.04162117342302
2729,147.9611410198251,-35.28361265388018
2730,148.0754164637943,-35.547478495923244
2731,144.6559496498343,-35.89509986422877
2732,144.18441850879083,-35.48152489001715
2733,144.1582874006935,-35.03983147898377
2734,143.7381617707305,-35.140633339390426
2735,143.4932739666602,-35.15669464355463
2736,143.38238245528046,-34.98070426402612
2737,142.87789649615019,-34.355147331910985
2738,142.51422144148682,-34.23893363541657
2739,142.1460729194865,-34.15197406104517
2745,150.66771870279018,-33.86164931856101
2747,150.75208049446738,-33.73007036359406
2748,150.73275989841216,-33.80847460221013
2749,150.68863175131284,-33.693674357249016
2750,150.67881291754307,-33.751998928193615
2752,150.59299692551218,-33.92433642077865
2753,150.69476779524717,-33.6178884835038
2754,150.7253392890212,-33.55391031074223
2756,150.7636312445418,-33.301643895815126
2757,150.70167708815015,-33.549512945834714
2758,150.62197938216937,-33.48546603163012
2759,150.79256814149528,-33.80574597733983
2760,150.780961897535,-33.761631311669454
2761,150.84835490110945,-33.73875812629561
2762,150.87558413033088,-33.70074178939431
2763,150.88891496507483,-33.72969408773548
2765,150.8561589313686,-33.654201398966784
2766,150.8416649422824,-33.794962816553834
2767,150.8706051546797,-33.765268903724326
2768,150.93073013909282,-33.73385024993224
2769,150.90645691763385,-33.70894456294654
2770,150.809109442118,-33.748227121786606
2773,150.62655053900878,-33.765469515267874
2774,150.61842781027715,-33.7334978181407
